pmid,title,journal,year,drug,disease
35435829,Bilateral Vitreous Hemorrhage in a Young Man with Pustular Psoriasis.,Skinmed,2022,Timolol,Psoriasis
31489616,Psoriasis precipitated by timolol eye drops. A series of eight cases.,The Australasian journal of dermatology,2020,Timolol,Psoriasis
29429507,[What's new in pediatric dermatology?].,Annales de dermatologie et de venereologie,2016,Timolol,Psoriasis
24030331,Timolol drops causing reversible psoriatic fingernail changes.,JAMA ophthalmology,2013,Timolol,Psoriasis
21602678,New therapies in pediatric dermatology.,Current opinion in pediatrics,2011,Timolol,Psoriasis
12121557,Squamous cell carcinoma in a patient with Netherton's syndrome.,International journal of dermatology,2002,Timolol,Psoriasis
1300000,[Progression of psoriasis under the effect of a timolol-containing ophthalmic solution].,Therapie,1992,Timolol,Psoriasis
2801871,Psoriasis induced by ophthalmic timolol preparations.,American journal of ophthalmology,1989,Timolol,Psoriasis
