PMID,Title,Journal,Year
40857048,Gluteal adipose tissue mitochondrial respiration and insulin sensitivity in pregnant South African women living with HIV on Tenofovir-Lamivudine-Dolutegravir.,Journal of acquired immune deficiency syndromes (1999),2025
39159293,Ginsenoside Rg3 Restores Mitochondrial Cardiolipin Homeostasis via GRB2 to Prevent Parkinson's Disease.,"Advanced science (Weinheim, Baden-Wurttemberg, Germany)",2024
33409067,Successful Utilization of Levodopa in HIV-Induced Parkinsonism.,Cureus,2020
29054954,Cerebellar ataxia and neuropathy as presenting features of hepatitis-B related cirrhosis and portal hypertension.,BMJ case reports,2017
