PMID,Title,Journal,Year
31685034,Direct conversion of human fibroblast to hepatocytes using a single inducible polycistronic vector.,Stem cell research & therapy,2019
24441659,Tropical sprue: revisiting an underrecognized disease.,The American journal of surgical pathology,2014
16261708,[Tropical or non-tropical sprue?].,Nederlands tijdschrift voor geneeskunde,2005
7555672,[Collagenous sprue].,Deutsche medizinische Wochenschrift (1946),1995
6664712,[Intestinal absorption of antibiotics in children with intestinal wall damage (flat mucosa syndrome)].,Pediatria polska,1983
