PMID,Title,Journal,Year
38821986,Lacrimal gland Alterations and the Effect of artesunate on experimental induced diabetes rat models and related mechanisms.,Scientific reports,2024
36892740,Effect of artesunate on cardiovascular complications in periodontitis in a type I diabetes rat model and related mechanisms.,Journal of endocrinological investigation,2023
36623941,Artemether treatment improves islet function and metabolic homeostasis in diabetic nonhuman primates.,Journal of diabetes,2023
35601149,Artemether Alleviates Diabetic Kidney Disease by Modulating Amino Acid Metabolism.,BioMed research international,2022
35500287,Mechanism and effects of artesunate on the liver function of rats with type 1 diabetic periodontitis.,Canadian journal of physiology and pharmacology,2022
33499847,Role of Artesunate on cardiovascular complications in rats with type 1 diabetes mellitus.,BMC endocrine disorders,2021
30916998,Artesunate prevents type 1 diabetes in NOD mice mainly by inducing protective IL-4-producing T cells and regulatory T cells.,FASEB journal : official publication of the Federation of American Societies for Experimental Biology,2019
27916275,Artemisinins Target GABA(A) Receptor Signaling and Impair alpha Cell Identity.,Cell,2017
